rank,segment_id,country,road_class,SpeedLimit,F85thPercentileSpeed,expected_speed,speed_residual
1,20712,Thailand,primary,66.0,120.0,64.79722683474995,55.20277316525005
2,TR/11432,India,trunk,80.0,104.0,50.51653574175079,53.48346425824921
3,MO/209,India,motorway,40.0,93.2,45.15106696238477,48.048933037615235
4,SE/8703,India,secondary,55.0,99.0,53.08814388656388,45.91185611343612
5,52405,Thailand,secondary,66.0,113.66666667,68.31292289022281,45.35374377977719
6,30403,Thailand,primary,90.0,113.0,68.68809895974954,44.31190104025046
7,TR/11377,India,trunk,80.0,95.0,50.84029422889842,44.15970577110158
8,52083,Thailand,secondary,90.0,103.5,59.41624764995349,44.08375235004651
9,41726,Thailand,secondary,90.0,101.0,57.043855896411145,43.956144103588855
10,52901,Thailand,secondary,90.0,105.5,63.15297558888573,42.34702441111427
11,29132,Thailand,primary,90.0,113.0,70.75218853535287,42.24781146464713
12,52461,Thailand,secondary,90.0,98.0,55.848169751119265,42.151830248880735
13,27034,Thailand,primary,60.0,112.5,70.35221441355246,42.14778558644754
14,54256,Thailand,secondary,90.0,108.0,66.44893912232175,41.55106087767825
15,53555,Thailand,secondary,90.0,93.0,51.49589755071095,41.50410244928905
16,47648,Thailand,secondary,90.0,113.0,71.70900060252352,41.29099939747648
17,20716,Thailand,primary,80.0,106.0,64.79722683474995,41.20277316525005
18,47260,Thailand,secondary,90.0,93.0,51.83588040928014,41.16411959071986
19,50783,Thailand,secondary,90.0,104.0,62.98875668654962,41.01124331345038
20,45040,Thailand,secondary,90.0,98.0,57.213569615581406,40.786430384418594
21,PR/4111,India,primary,30.0,94.0,53.476080375246156,40.523919624753844
22,22527,Thailand,primary,80.0,109.0,68.68809895974954,40.31190104025046
23,44785,Thailand,secondary,80.0,98.0,57.73829816938107,40.26170183061893
24,29673,Thailand,primary,90.0,115.0,74.81712977092634,40.18287022907366
25,SE/9442,India,secondary,55.0,90.5,50.44523152604517,40.05476847395483
26,29420,Thailand,primary,90.0,104.0,64.04760378624034,39.952396213759656
27,40131,Thailand,secondary,90.0,103.5,63.57164241804088,39.92835758195912
28,42800,Thailand,secondary,30.0,111.0,71.22305918566828,39.776940814331724
29,39416,Thailand,secondary,90.0,106.0,66.38877151058148,39.61122848941852
30,49052,Thailand,secondary,90.0,104.0,64.76361241149793,39.23638758850207
31,45190,Thailand,secondary,90.0,100.0,60.877772423222275,39.122227576777725
32,20408,Thailand,primary,90.0,111.0,71.98277784956014,39.01722215043986
33,39420,Thailand,secondary,90.0,104.0,65.11231328889696,38.88768671110304
34,52811,Thailand,secondary,90.0,109.0,70.23007090013184,38.769929099868165
35,SE/7659,India,secondary,55.0,91.25,52.549565796080884,38.700434203919116
36,53126,Thailand,secondary,80.0,103.0,64.30104868178213,38.698951318217865
37,39455,Thailand,secondary,90.0,103.0,64.42107152333239,38.57892847666761
38,TR/11433,India,trunk,80.0,98.0,59.43046048225473,38.56953951774527
39,TR/11429,India,trunk,55.0,101.75,63.18148464995699,38.56851535004301
40,39941,Thailand,secondary,90.0,103.5,64.94686674073635,38.553133259263646
41,34219,Thailand,secondary,30.0,94.0,55.472564828309196,38.527435171690804
42,35615,Thailand,secondary,90.0,104.0,65.51040175837224,38.48959824162776
43,28077,Thailand,primary,90.0,113.5,75.20193714867254,38.29806285132746
44,TR/11115,India,trunk,40.0,104.5,66.35511549677466,38.14488450322534
45,39457,Thailand,secondary,90.0,103.0,64.86563528512364,38.134364714876355
46,TR/13073,India,trunk,60.0,97.5,59.43046048225473,38.06953951774527
47,TR/11010,India,trunk,40.0,104.33333333333333,66.35511549677466,37.97821783655867
48,20308,Thailand,primary,90.0,116.0,78.03683977642496,37.963160223575045
49,34853,Thailand,primary,90.0,110.0,72.21814715436365,37.78185284563635
50,52596,Thailand,secondary,90.0,98.0,60.25628387379568,37.74371612620432
51,20975,Thailand,primary,90.0,103.0,65.26763249435085,37.73236750564915
52,41752,Thailand,secondary,90.0,104.0,66.28282124162162,37.71717875837838
53,54222,Thailand,secondary,80.0,107.0,69.66045730521542,37.33954269478458
54,TR/11009,India,trunk,40.0,103.66666666666667,66.35511549677466,37.31155116989201
55,40111,Thailand,secondary,80.0,89.0,51.72677616988155,37.27322383011845
56,28642,Thailand,primary,90.0,105.0,67.73761761940706,37.26238238059294
57,44793,Thailand,secondary,80.0,94.0,56.8540973168731,37.1459026831269
58,52837,Thailand,secondary,80.0,102.0,64.88287492863167,37.117125071368335
59,27135,Thailand,primary,90.0,112.0,75.10977060509066,36.89022939490934
