metric,value
total_segments,69966.0
reliable_segments,14546.0
low_confidence_segments,55420.0
risk_tier_count_Low_risk,14160.0
risk_tier_pct_Low_risk,20.24
risk_tier_count_Medium_risk,386.0
risk_tier_pct_Medium_risk,0.55
risk_tier_count_Insufficient_data,55420.0
risk_tier_pct_Insufficient_data,79.21
mean_speed_safety_score,22.14
max_speed_safety_score,53.3
mean_speed_gap_kmh,7.07
correlation_speed_safety_score_vs_ranked_percentile,-0.1955
sensitivity_avg_top20pct_overlap_pct,90.17
mean_speed_limit_gap_kmh,12.79
pct_segments_posted_above_recommendation,73.2
